LOCALIDAD;LED;Mh;Na;TOTAL;%ledxloca;mes;
Antonio Narino;5246;492;9;5747;91,28%;enero;
Barrios Unidos;2425;8692;782;11899;20,38%;enero;
Bosa;20798;1423;266;22487;92,49%;enero;
Chapinero;4571;8123;731;13425;34,05%;enero;
Ciudad Bolivar;24420;2259;455;27134;90,00%;enero;
Engativa;28520;6415;1065;36000;79,22%;enero;
Fontibon;12397;4430;909;17736;69,90%;enero;
Kennedy;35819;3197;1046;40062;89,41%;enero;
La Candelaria;555;1835;117;2507;22,14%;enero;
Los Martires;2073;4960;221;7254;28,58%;enero;
Puente Aranda;15894;2071;1022;18987;83,71%;enero;
Rafael Uribe;15643;824;80;16547;94,54%;enero;
San Cristobal;16985;1337;60;18382;92,40%;enero;
Santa Fe;2654;5446;714;8814;30,11%;enero;
Suba;7399;33976;905;42280;17,50%;enero;
Sumapaz;92;202;0;294;31,29%;enero;
Teusaquillo;5308;8184;1032;14524;36,55%;enero;
Tunjuelito;1229;5715;126;7070;17,38%;enero;
Usaquen;19453;3879;2295;25627;75,91%;enero;
Usme;15132;1672;466;17270;87,62%;enero;
Antonio Narino;5278;491;3;5772;91,44%;febrero;
Barrios Unidos;2643;8623;630;11896;22,22%;febrero;
Bosa;20980;1322;183;22485;93,31%;febrero;
Chapinero;4595;8103;723;13421;34,24%;febrero;
Ciudad Bolivar;24743;2122;249;27114;91,26%;febrero;
Engativa;28676;6371;964;36011;79,63%;febrero;
Fontibon;12705;4292;741;17738;71,63%;febrero;
Kennedy;36205;3012;816;40033;90,44%;febrero;
La Candelaria;568;1832;107;2507;22,66%;febrero;
Los Martires;2086;4945;220;7251;28,77%;febrero;
Puente Aranda;16003;2033;947;18983;84,30%;febrero;
Rafael Uribe;15678;822;46;16546;94,75%;febrero;
San Cristobal;17014;1313;32;18359;92,67%;febrero;
Santa Fe;2694;5442;687;8823;30,53%;febrero;
Suba;7999;33657;619;42275;18,92%;febrero;
Sumapaz;95;202;0;297;31,99%;febrero;
Teusaquillo;5432;8090;992;14514;37,43%;febrero;
Tunjuelito;1330;5681;85;7096;18,74%;febrero;
Usaquen;19866;3736;2040;25642;77,47%;febrero;
Usme;15222;1665;398;17285;88,06%;febrero;
Antonio Narino;5281;489;3;5773;91,48%;marzo;
Barrios Unidos;2722;8566;607;11895;22,88%;marzo;
Bosa;21001;1308;167;22476;93,44%;marzo;
Chapinero;4606;8102;721;13429;34,30%;marzo;
Ciudad Bolivar;24785;2103;208;27096;91,47%;marzo;
Engativa;29381;6048;551;35980;81,66%;marzo;
Fontibon;13063;4122;618;17803;73,38%;marzo;
Kennedy;36386;2980;659;40025;90,91%;marzo;
La Candelaria;569;1832;105;2506;22,71%;marzo;
Los Martires;2166;4904;180;7250;29,88%;marzo;
Puente Aranda;16129;2018;835;18982;84,97%;marzo;
Rafael Uribe;15685;813;24;16522;94,93%;marzo;
San Cristobal;17083;1265;12;18360;93,04%;marzo;
Santa Fe;2708;5432;682;8822;30,70%;marzo;
Suba;8078;33597;588;42263;19,11%;marzo;
Sumapaz;97;202;0;299;32,44%;marzo;
Teusaquillo;5571;8063;923;14557;38,27%;marzo;
Tunjuelito;1357;5654;81;7092;19,13%;marzo;
Usaquen;20020;3724;1919;25663;78,01%;marzo;
Usme;15379;1593;288;17260;89,10%;marzo;
Antonio Narino;5287;488;3;5778;91,50%;abril;
Barrios Unidos;3136;8316;441;11893;26,37%;abril;
Bosa;20985;1308;163;22456;93,45%;abril;
Chapinero;4707;8078;652;13437;35,03%;abril;
Ciudad Bolivar;24898;2099;137;27134;91,76%;abril;
Engativa;29774;5906;303;35983;82,74%;abril;
Fontibon;13134;4104;540;17778;73,88%;abril;
Kennedy;36421;2976;628;40025;91,00%;abril;
La Candelaria;575;1829;99;2503;22,97%;abril;
Los Martires;2178;4900;173;7251;30,04%;abril;
Puente Aranda;16177;1999;791;18967;85,29%;abril;
Rafael Uribe;15735;812;11;16558;95,03%;abril;
San Cristobal;17105;1234;1;18340;93,27%;abril;
Santa Fe;2964;5396;461;8821;33,60%;abril;
Suba;8209;33529;560;42298;19,41%;abril;
Sumapaz;97;202;0;299;32,44%;abril;
